step	loss exist
0	0.0006230213912203908
1	0.0006200806819833815
2	0.000615868775639683
3	0.0006257941131480038
4	0.0006228165584616363
5	0.0006237765192054212
6	0.000627528119366616
7	0.0006202700897119939
8	0.0006227591075003147
9	0.0006210396531969309
10	0.0006272359169088304
11	0.0006236247136257589
12	0.0006063961191102862
13	0.0006076483987271786
14	0.0006181062781251967
15	0.0006188174011185765
16	0.0006089776870794594
17	0.0006042859749868512
18	0.0006079311715438962
19	0.0006140158511698246
20	0.0006167495157569647
21	0.0005787629052065313
22	0.00060751021374017
23	0.0005858421791344881
24	0.0005807209527119994
25	0.0005628641229122877
26	0.0005537575925700366
27	0.0005707074888050556
28	0.000561423774342984
29	0.0005409841542132199
30	0.0005630197701975703
31	0.0005283955833874643
32	0.0005584826576523483
33	0.0005583372549153864
34	0.0005496505764313042
35	0.0005683299386873841
36	0.0005874394555576146
37	0.000504654657561332
38	0.0005746401729993522
39	0.0005390482256188989
40	0.0004841468180529773
41	0.0004960017395205796
42	0.0005227057845331728
43	0.0005096935201436281
44	0.0005610427469946444
45	0.0007055500173009932
46	0.0004243706935085356
47	0.0005655704881064594
48	0.00043981499038636684
49	0.0005007077124901116
50	0.0006362043204717338
51	0.0004981518140994012
52	0.0006434603128582239
53	0.00040861390880309045
54	0.0004659406840801239
55	0.0005476023070514202
56	0.0008094536024145782
57	0.00047463143710047007
58	0.0004443404031917453
59	0.0005676270229741931
60	0.0004676679673139006
61	0.0005032915505580604
62	0.00039509168709628284
63	0.0004952692543156445
64	0.0005196585552766919
65	0.000686370360199362
66	0.0003586246457416564
67	0.0003800982376560569
68	0.0004810436221305281
69	0.0006532156257890165
70	0.00046379657578654587
71	0.00035778453457169235
72	0.00039174873381853104
73	0.00048123064334504306
74	0.0005842598620802164
75	0.00045796341146342456
76	0.00047269530477933586
77	0.0003791957860812545
78	0.0005765685928054154
79	0.0004788519290741533
80	0.0004894122248515487
81	0.0006320186075754464
82	0.0005986918113194406
83	0.0007253038929775357
84	0.0004541277594398707
85	0.000676910683978349
86	0.000594487355556339
87	0.0005912802298553288
88	0.0006206572870723903
89	0.0003836925607174635
90	0.0005930347833782434
91	0.00048301549395546317
92	0.00037939066532999277
93	0.00048050659825094044
94	0.0006728216540068388
95	0.00047015491873025894
96	0.0004880735359620303
97	0.0003885451005771756
98	0.0003837765543721616
99	0.00038063962711021304
100	0.000569875817745924
101	0.0004078688216395676
102	0.0004654326767195016
103	0.0004662562860175967
104	0.0003577138704713434
105	0.00047399738105013967
106	0.0004478196788113564
107	0.00047909258864820004
108	0.000527109659742564
